"M52,cluster,open,,cassiopeia,23h 24.2m,+61å¡35‰Û_,""5,000 light years (1,533 parsecs)"",+5.0,,13‰Û_,9.5 light years,,35 million years,>100,,,,,,,,,,,,1774.0,Messier";
"M53,cluster,globular,,coma berenices,13h 12m 55.25s,+18å¡10‰Ûª05.4‰Û,""58,000 light years (18,000 parsecs)"",+8.33,,13‰Û_,110 light years,v,12.67 billion years,"">500,000"",,,,,,,,,,,,1775.0,Bode";
"M54,cluster,globular,extragalactic cluster,sagittarius,18h 55m 03.33s,-30å¡28‰Ûª47.5‰Û,""87,400 light years (26,800 parsecs)"",+8.37,-10.0,12‰Û_,153 light years,iii,13 billion years,> 1 million,,,,,,,,,,,,1778.0,Messier";
"M55,cluster,globular,,sagittarius,19h 39m 59.71s,-30å¡57‰Ûª53.1‰Û,""17,600 light years (5,400 parsecs)"",+7.42,,19‰Û_,48 light years,xi,12.3 billion years,""100,000"",,,,,,,,,,,,1751.0,Lacaille";
"M56,cluster,globular,moving in a retrograde orbit through the milky way,lyra,19h 16m 35.57s,+30å¡11‰Ûª00.5‰Û,""32,900 light years (10,100 parsecs)"",+8.3,,8‰Û_.8,42 light years,x,13.7 billion years,""80,000"",,,,,,,,,,,,1779.0,Messier";
"M57,nebula,planetary,,lyra,18h 53m 35.079s,+33å¡01‰Ûª45.03‰Û,""2,300 light years (700 parsecs)"",+8.8,-0.2,230‰Û x 230‰Û,1.3 light years,,""6,000 to 8,000 years"",,,,,,,,,,,,,1779.0,Darquier";
"M58,galaxy,barred spiral,,virgo,12h 37m 43.5s,+11å¡49‰Ûª05‰Û,62 million light years (19.1 megaparsecs),+10.5,,5‰Û_.9 x 4‰Û_.7,""58,000 light years"",sab(rs)b";" liner sy1.9,,400 billion,,,,0.00506,""1,517 km/s"",,,,,,,1779.0,Messier"
"M59,galaxy,elliptical,,virgo,12h 42m 02.3s,+11å¡38‰Ûª49‰Û,60 million light years (1.7 megaparsecs),+10.6,,5‰Û_.4 x 3‰Û_.7,,e5,,200 billion,,,,410 km/s,,,,,""90,000 light years"",,,1779.0,Koehler";
"M6,cluster,open,,scorpius,17h 40.1m,-32å¡13‰Û_,""1,600 light years (491 parsecs)"",4.2,,25‰Û_,6 light years,,100 million years,,,,,,,,,,,,,1654.0,Hodierna";
"M60,galaxy,elliptical,""part of arp 116, contains one of the most massive black holes known"",virgo,12h 43m 39.6s,+11å¡33‰Ûª09‰Û,55 million light years (16.8 megaparsecs),+9.8,-22.3,7‰Û_.4 x 6‰Û_.0,""60,000 light years"",e2,,400 billion,,,,0.003726,""1,117 km/s"",,,,,,,1779.0,Koehler";
"M61,galaxy type,barred spiral,,virgo,12h 21m 54.9s,+04å¡28‰Ûª25‰Û,52.5 million light years (16.10 megaparsecs),+10.18,-21.2,6‰Û_.5 x 5‰Û_.8,""50,000 light years"",sab(rs)bc,,> 300 billion,,,,0.005224,,""1,483 km/s"",,,,""1,566 km/s"",,1779.0,Oriani";
"M62,cluster,globular,irregular shape,ophiuchus,17h 01m 12.60s,-30å¡06‰Ûª44.5‰Û,""22,200 light years (6,800 parsecs)"",+7.39,,15‰Û_,49 light years,iv,11.78 billion years,""150,000"",,,,,,,,,,,,1771.0,Messier";
"M63,galaxy,spiral,,canes venatici,13h 15m 49.3s,+42å¡01‰Ûª45‰Û,37 million light years,+9.3,,12‰Û_.6 x 7‰Û_.2,""49,000 light years"",sa(rs)bc,,> 400 billion,,,,484 km/2,,,,,,,,1779.0,MÌ©chain";
"M64,galaxy,spiral,""prominent dark, absorbing band of dust in front of the galaxy‰Ûªs bright nucleus"",coma berenices,12h 56m 43.7s,+21å¡40‰Ûª58‰Û,24 million light years (7.36 megaparsecs),+9.36,,10‰Û_.71 x 5‰Û_.128,""35,000 light years"",""(r)sa(rs)ab, hiisy2"",,100 billion,,,,0.001361,,400 km/s,,,,408 km/s,,1775.0,Bode";
"M65,galaxy,spiral,member of the leo triplet,leo,11h 18m 55.9s,+13å¡05‰Ûª32‰Û,35 million light years,+10.25,,8‰Û_.709 x 2‰Û_.454,""45,000 light years"",""sab(rs)a, liner"",,200 billion,,,,0.002692,,723 km/s,,,,807 km/s,,1780.0,MÌ©chain";
"M66,galaxy,spiral,member of the leo triplet,leo,11h 20m 15s,+12å¡59‰Ûª30‰Û,36 million light years,+8.9,,9‰Û_.1 x 4‰Û_.2,""47,500 light years"",sab(s)b,,200 billion,,,,0.002425,,,,,,,,1780.0,MÌ©chain";
"M67,cluster,open,three confirmed extrasolar planets,cancer,08h 51.4m,+11å¡49‰Û_,""2,610,000 ‰ÛÒ 2,930,000 light years (800 ‰ÛÒ 900 parsecs)"",+6.1,,30‰Û_,10 light years,,4 billion years (3.2 to 5 billion years),>500,,,,,,,,,,,,1778.0,Koehler";
"M68,cluster,globular,relatively metal poor,hydra,12h 39m 27.98s,-26å¡44‰Ûª38.6‰Û,""33,600 light years (10,300 parsecs)"",+9.67,,11‰Û_,53 light years,x,11.2 billion years,"">100,000"",,,,,,,,,,,,1780.0,MÌ©chain";
"M69,cluster,globular,one of the most metal-rich globular clusters known,sagittarius,18h 31m 23.10s,-32å¡20‰Ûª53.1‰Û,""29,700 light years (9,100 parsecs)"",+8.31,,9‰Û_.8,42 light years,v,13.06 billion years,""125,000"",72 light years,,,,,,,,,,,1751.0,Lacaille";
M7,cluster,open,,scorpius,17h 53m 51.2s,-34å¡47‰Ûª34‰Û,980 light years (300 parsecs),3.3,,80‰Û_,25 light years,,220 million years,80,40.1 light years,,,,,,,,,,,,PtolÌ©mÌ©e;
"M70,cluster,globular,undergone a core collapse,sagittarius,18h 43m 12.76s,-32å¡17‰Ûª31.6‰Û,""29,400 light years (9,000 parsecs)"",+9.06,,8‰Û_,34 light years,v,12.8 billion years,""75,000"",,,,,,,,,,,,1780.0,Messier";
"M71,cluster,globular,,sagitta,19h 53m 46.49s,+18å¡46‰Ûª45.1‰Û,""13,000 light years (4,000 parsecs)"",+6.1,,7‰Û_.2,13 light years,x-xi,9 to 10 billion years,"">20,000"",,,,,,,,,,,,1746.0,ChÌ©seaux";
"M72,cluster,globular,,aquarius,20h 53m 27.70s,-12å¡32‰Ûª14.3‰Û,""54,570 light years (16,730 parsecs)"",+9.35,,6‰Û_.6,53 light years,ix,9.5 billion years,"">100,000"",,,,,,,,,,,,1780.0,MÌ©chain";
"M73,asterism,,,aquarius,20h 58m 54s,-12å¡38‰Û_,""2,500 light years (770 parsecs)"",+9.0,,2‰Û_.8,,,,4,,,,,,,,,,,,1780.0,Messier";
"M74,galaxy,spiral,,pisces,01h 36m 41.8s,+15å¡47‰Ûª01‰Û,30 million light years,+10.0,,10‰Û_.5 x 9‰Û_.5,""47,500 light years"",sa(s)c,,100 billion,,,,657 km/s,,,,,,,,1780.0,MÌ©chain";
"M75,cluster,globular,,sagittarius,20h 06m 04.75s,-21å¡55‰Ûª16.2‰Û,""67,500 light years (20,700 parsecs)"",+9.18,-8.5,6‰Û_.8,67 light years,i,13 billion years,""400,000"",,,,,,,,,,,,1780.0,MÌ©chain";
"M76,nebula,planetary,,perseus,01h 42.4m,+51å¡34‰Ûª31‰Û,""2,500 light years (780 parsecs)"",+10.1,,2‰Û_.7 x 1‰Û_.8,0.617 light years,,,,,,,,,,,,,,,1780.0,MÌ©chain";
"M77,galaxy,barred spiral,,cetus,02h 42m 40.7s,-00å¡00‰Ûª48‰Û,47 million light years (14.4 megaparsecs),+9.6,,7‰Û_.1 x 6‰Û_.0,""85,000 light years"",(r)sa(rs)b,,>300 billion,,,,""1,137 km/s"",,,,,,,,1780.0,MÌ©chain";
"M78,nebula,reflection,belongs to the orion molecular cloud complex,orion,05h 46.7m,+00å¡03‰Û_,""1,600 light years"",+8.3,,8‰Û_ x 6‰Û_,5 light years,,,,,,,,,,,,,,,1780.0,MÌ©chain";
"M79,cluster,globular,extragalactic cluster,lepus,05h 24m 10.59s,-24å¡31‰Ûª27.3‰Û,""41,000 light years (13,000 parsecs)"",+8.56,,8‰Û_.7,52 light years,v,11.7 billion years,""150,000"",,,,,,,,,,,,1780.0,MÌ©chain";
"M8,nebula type,emission (h ii region),,sagittarius,18h 03m 37s,-24å¡23‰Ûª12‰Û,""4,100 light years (1,250 parsecs)"",6,,90 x 40 arc minutes,55 x 20 light years,,,,,,,,,,,,,,,1680.0,Flamsteed";
